sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
50142	production	3.88324458E+03	6.15068444E+02	6.31351620E+00	0.00000000E+00	1326
50143	production	3.85350814E+03	6.13667567E+02	6.27947174E+00	0.00000000E+00	1324
50144	production	3.87914784E+03	6.12942678E+02	6.32872857E+00	0.00000000E+00	1311
50145	production	3.86945402E+03	6.12432361E+02	6.31817366E+00	0.00000000E+00	1285
50146	production	3.91986167E+03	6.13894171E+02	6.38524009E+00	0.00000000E+00	1304
50147	production	3.87941795E+03	6.13183971E+02	6.32667867E+00	0.00000000E+00	1322
50148	production	3.87214725E+03	6.12769223E+02	6.31909552E+00	0.00000000E+00	1314
50149	production	3.87466437E+03	6.12437872E+02	6.32662437E+00	0.00000000E+00	1303
50150	production	3.86123980E+03	6.12176282E+02	6.30739856E+00	0.00000000E+00	1277
50151	production	3.87255836E+03	6.12638693E+02	6.32111292E+00	0.00000000E+00	1313
50152	production	3.85099911E+03	6.13880100E+02	6.27321053E+00	0.00000000E+00	1307
50153	production	3.86060164E+03	6.13511517E+02	6.29263108E+00	0.00000000E+00	1280
50154	production	3.87318687E+03	6.14977773E+02	6.29809244E+00	0.00000000E+00	1279
50155	production	3.93244002E+03	6.16225930E+02	6.38149066E+00	0.00000000E+00	1292
50156	production	3.90219857E+03	6.16408091E+02	6.33054404E+00	0.00000000E+00	1293
50157	production	3.91223683E+03	6.17022001E+02	6.34051432E+00	0.00000000E+00	1332
50158	production	3.93633749E+03	6.16479316E+02	6.38518987E+00	0.00000000E+00	1363
50159	production	3.90662588E+03	6.17013451E+02	6.33150845E+00	0.00000000E+00	1321
50160	production	3.81158357E+03	6.15101006E+02	6.19667913E+00	0.00000000E+00	1321
50161	production	3.84093516E+03	6.16211220E+02	6.23314706E+00	0.00000000E+00	1287
50162	production	3.84314563E+03	6.16590072E+02	6.23290222E+00	0.00000000E+00	1280
50163	production	3.79697447E+03	6.15646898E+02	6.16745489E+00	0.00000000E+00	1308
50164	production	3.84566535E+03	6.16527146E+02	6.23762534E+00	0.00000000E+00	1324
50165	production	3.83620246E+03	6.16331288E+02	6.22425396E+00	0.00000000E+00	1314
50166	production	3.90061369E+03	6.17204475E+02	6.31980785E+00	0.00000000E+00	1336
50167	production	3.89358625E+03	6.17168449E+02	6.30879017E+00	0.00000000E+00	1360
50168	production	3.91153295E+03	6.18986702E+02	6.31925199E+00	0.00000000E+00	1342
50169	production	3.93067849E+03	6.18412352E+02	6.35608018E+00	0.00000000E+00	1336
50170	production	3.89809709E+03	6.17724242E+02	6.31041624E+00	0.00000000E+00	1323
50171	production	3.91613344E+03	6.16921313E+02	6.34786538E+00	0.00000000E+00	1335
50172	production	3.89976694E+03	6.16960980E+02	6.32092963E+00	0.00000000E+00	1321
50173	production	3.90449070E+03	6.16767737E+02	6.33056898E+00	0.00000000E+00	1320
50174	production	3.88383940E+03	6.16061845E+02	6.30430115E+00	0.00000000E+00	1342
50175	production	3.87969177E+03	6.17192972E+02	6.28602713E+00	0.00000000E+00	1311
50176	production	3.88661795E+03	6.16052632E+02	6.30890568E+00	0.00000000E+00	1308
50177	production	3.89529384E+03	6.17042703E+02	6.31284321E+00	0.00000000E+00	1357
50178	production	3.91783276E+03	6.16068951E+02	6.35940628E+00	0.00000000E+00	1387
50179	production	3.92582571E+03	6.15710550E+02	6.37608972E+00	0.00000000E+00	1372
50180	production	3.90130608E+03	6.16435827E+02	6.32881139E+00	0.00000000E+00	1347
50181	production	3.88196497E+03	6.16350774E+02	6.29830468E+00	0.00000000E+00	1369
50182	production	3.86914274E+03	6.15639275E+02	6.28475619E+00	0.00000000E+00	1371
50183	production	3.90497308E+03	6.16674657E+02	6.33230674E+00	0.00000000E+00	1365
50184	production	3.92184414E+03	6.18247913E+02	6.34348141E+00	0.00000000E+00	1362
50185	production	3.95310633E+03	6.19302999E+02	6.38315387E+00	0.00000000E+00	1409
50186	production	3.90313270E+03	6.19318729E+02	6.30230045E+00	0.00000000E+00	1387
50187	production	3.88058382E+03	6.19388593E+02	6.26518451E+00	0.00000000E+00	1349
50188	production	3.87322244E+03	6.18948716E+02	6.25774371E+00	0.00000000E+00	1342
50189	production	3.91054768E+03	6.19896006E+02	6.30839309E+00	0.00000000E+00	1366
50190	production	3.88526883E+03	6.19301477E+02	6.27363081E+00	0.00000000E+00	1367
50191	production	3.87669826E+03	6.19756100E+02	6.25519984E+00	0.00000000E+00	1385
50192	production	3.86024075E+03	6.19444513E+02	6.23177809E+00	0.00000000E+00	1346
50193	production	3.87180573E+03	6.17874680E+02	6.26632852E+00	0.00000000E+00	1339
50194	production	3.88236772E+03	6.18076239E+02	6.28137353E+00	0.00000000E+00	1344
50195	production	3.83369919E+03	6.16852724E+02	6.21493436E+00	0.00000000E+00	1350
50196	production	3.85557423E+03	6.17589134E+02	6.24294376E+00	0.00000000E+00	1339
50197	production	3.85227431E+03	6.17442359E+02	6.23908331E+00	0.00000000E+00	1345
